hex,count
84f3a6dffffffff,2
84f2a41ffffffff,1
84f1b45ffffffff,24
84f1ae7ffffffff,6
84f0a85ffffffff,1
84f09bdffffffff,11
84f099dffffffff,13
84f0049ffffffff,1
84ef9a9ffffffff,1
84ef491ffffffff,1
84eeb3dffffffff,2
84ee863ffffffff,2
84ee861ffffffff,1
84ed4dbffffffff,2
84ed4d7ffffffff,1
84ed4bbffffffff,1
84ed499ffffffff,202
84ed495ffffffff,2
84ed431ffffffff,7
84eca89ffffffff,16
84ec135ffffffff,1
84e89cdffffffff,3
84e89b7ffffffff,1
84e89b1ffffffff,7
84e8911ffffffff,1
84e74dbffffffff,9
84e743bffffffff,3
84e7431ffffffff,24
84e706dffffffff,14
84e5727ffffffff,7
84e55ebffffffff,4
84e466bffffffff,8
84e1283ffffffff,9
84e0b6bffffffff,4
84e093dffffffff,70
84e093bffffffff,2
84e0939ffffffff,10
84e0935ffffffff,3
84e0933ffffffff,3
84e0931ffffffff,15
84e0923ffffffff,4
84e0907ffffffff,2
84df81dffffffff,2
84df803ffffffff,7
84df6edffffffff,147
84df6ebffffffff,38
84df6e9ffffffff,88
84df6e7ffffffff,176
84df6e5ffffffff,210
84df6e3ffffffff,12
84df6e1ffffffff,69
84df6ddffffffff,6
84df6d9ffffffff,1
84df6d7ffffffff,70568
84df6d5ffffffff,27
84df6d3ffffffff,298
84df6d1ffffffff,24
84df6cdffffffff,15
84df6cbffffffff,28
84df6c9ffffffff,34
84df6c7ffffffff,2
84df6c5ffffffff,305
84df6c3ffffffff,2
84df6c1ffffffff,6
84df6bdffffffff,416
84df6bbffffffff,844
84df6b9ffffffff,185
84df6b7ffffffff,2003
84df6b5ffffffff,565
84df6b3ffffffff,170
84df6b1ffffffff,426
84df6adffffffff,1547
84df6abffffffff,350
84df6a9ffffffff,145
84df6a7ffffffff,21688
84df6a5ffffffff,3191
84df6a3ffffffff,1830
84df6a1ffffffff,643
84df69dffffffff,60180
84df69bffffffff,95
84df699ffffffff,617
84df697ffffffff,433
84df695ffffffff,227
84df693ffffffff,143
84df691ffffffff,355
84df68dffffffff,45
84df68bffffffff,491
84df689ffffffff,166
84df687ffffffff,341
84df685ffffffff,109
84df683ffffffff,5978
84df681ffffffff,257
84df63bffffffff,322
84df637ffffffff,86
84df635ffffffff,18
84df633ffffffff,156
84df631ffffffff,169
84df621ffffffff,3
84df617ffffffff,79
84df613ffffffff,125
84df5b7ffffffff,11
84df5b3ffffffff,25
84df4dbffffffff,27
84df4d9ffffffff,877
84df4c9ffffffff,1089
84df45dffffffff,29
84df45bffffffff,2047
84df459ffffffff,19323
84df457ffffffff,18905
84df455ffffffff,5241
84df453ffffffff,5086
84df451ffffffff,26279
84df44dffffffff,2
84df44bffffffff,33
84df445ffffffff,43
84df443ffffffff,5
84df441ffffffff,27
84df43dffffffff,26
84df42bffffffff,91
84df427ffffffff,509
84df423ffffffff,813
84df421ffffffff,44
84df41dffffffff,8235
84df41bffffffff,35342
84df419ffffffff,4273
84df411ffffffff,35
84df40dffffffff,1
84df40bffffffff,10926
84df409ffffffff,720
84df407ffffffff,1817
84df405ffffffff,106
84df403ffffffff,1292
84df401ffffffff,3881
84df359ffffffff,47
84df337ffffffff,2
84df335ffffffff,5
84df327ffffffff,19
84df315ffffffff,1
84df303ffffffff,1
84df14bffffffff,18
84df143ffffffff,5
84df069ffffffff,2
84df067ffffffff,2
84df061ffffffff,4
84df02dffffffff,56
84df029ffffffff,58
84de957ffffffff,4
84de953ffffffff,140
84de951ffffffff,3
84de829ffffffff,2
84de825ffffffff,7
84de75dffffffff,12
84de75bffffffff,89
84de759ffffffff,126
84de757ffffffff,212
84de755ffffffff,62
84de753ffffffff,153
84de751ffffffff,269
84de74bffffffff,2
84de743ffffffff,84
84de739ffffffff,1
84de71dffffffff,90
84de719ffffffff,34
84de70bffffffff,513
84de709ffffffff,134
84de707ffffffff,3678
84de703ffffffff,317
84de701ffffffff,1157
84de667ffffffff,1
84de665ffffffff,31
84de661ffffffff,1
84de62dffffffff,52
84de629ffffffff,4
84db857ffffffff,1
84dab37ffffffff,85061
84dab35ffffffff,12465
84dab33ffffffff,9
84dab31ffffffff,10
84daabdffffffff,35
84daaadffffffff,2337
84daaabffffffff,475
84daaa9ffffffff,2
84daaa7ffffffff,6845
84daaa5ffffffff,50278
84daaa3ffffffff,5
84daaa1ffffffff,25356
84daa87ffffffff,5
84da9c9ffffffff,80
84da96dffffffff,574
84da96bffffffff,48
84da969ffffffff,179
84da967ffffffff,3207
84da965ffffffff,82979
84da963ffffffff,1297
84da961ffffffff,581
84da95dffffffff,23946
